Metin,Durum,Temiz
ikizlerim için aldık çok beğendik 90lı yılları yaşıyoruz ??,1,ikizler için al çok beğen lı yıl yaşa
Oğlum çok beğendi ve 2 günde elimize geçti teşekkürler.,1,oğul çok beğen gün el geç teşekkür
aldığımız günden beri elinden düşürmüyor oğlum. gerçekten severek kullaniyor.,1,al gün el düşür oğul gerçekten sev kullaniyor
rengi farklı geldi ancak ürün anlatıldığı gibi. Çocuklar çok sevdi,2,renk fark gel ürün anlat çocuk çok sev
beklediğimizden daha güzel bir ürün oyun çeşitliliği çok güzel,1,bekle güzel ürün oyun çeşit çok güzel
kisa bir surede geldi ve beklentilemiz gibi guzel bir urun tesekkurler trendyol,1,kisa sure gel beklentilemiz guzel ur tesekkurler trendyol
ürünün hem fiyatı uygun hemde göründüğü gibi kaliteli teşekkürler ??,1,ürün fiyat uygun he görün kalite teşekkür
çok büyük degil ama yeterli bence. tam 400 oyun yok ama mario yeter,1,çok büyük degil yeterli oyun yok mario yeter
bayıldık cocuguma diye aldık eşimle biz başında kavga ediyoruz ben oynayacağım ben oynayacağım diye,1,bayıl cocuguma al eş baş kavga oyna oyna
biz çok beğendik cocuklugumuza döndük sanki tavsiye ederim,1,çok beğen cocuklugumuz dön tavsiye
Süper çocuklardan çok eşimle Ben oynuyorum eskilere gittik,1,süper çocuk çok eş oyna eski git
Harika özellikle super marionun olması ?? kardeşime almıştım ama kendim daha çok kullanıyorum :D,1,harika özellikle super marion kardeş al çok kullan d
İndirimdeyken almıştım çocukluğuma götürdü beni resmen evde kapanın elinde kalıyor,1,indirim al çocukluk götür resmen ev kapa el kal
Oğluma aldım ama ben oynuyorum daha çok çünkü çocukluğum ?? çok güzel bir ürün 400 oyun bi arada,1,oğul al oyna çok çünkü çocukluk çok güzel ürün oyun ara
çok güzel gerçekten eskilere götürdü resmen oğluma aldım elinden hiç düşmüyor,1,çok güzel gerçekten eski götür resmen oğul al el hiç düş
alirken cok şüphelerim vardi ama o kadar guzel oyun oynaniyorki herkese cani gönülden tavsiye ederim,1,alirken şüphe vardi guzel oyun oynaniyorki cani gönül tavsiye
Fiyatına göre oldukça kaliteli. Bizi eskilere götürdü. Çok memnun kaldık. :),1,fiyat göre oldukça kalite eski götür çok memnun kal
"Çok sevdik, fiyat kalitesi çok iyi, cocuklar bayıldı, bir tane daha sipariş edeceğiz.",1,çok sev fiyat kalite çok iyi cocuklar bayıl tane sipariş
Hizli kargo icin tsk hayer güzel cocuklar severek oynuyor...,1,hizli kargo icin tsk hayer güzel cocuklar sev oyna
Bana eskileri hatırlattı çok güzel bir oyuncak alın ve sıkıldıkça oynayın,1,eski hatırla çok güzel oyuncak al sıkıl oyna
coook eglencelii alin aldirin cocukluguma dondumm cok mutluyum ...,1,cook eglencelii ali aldirin cocukluguma dondumm mutlu
urun guzel fakat tuslarinda biraz aksaklik var gibi,2,ur guzel tuslarinda aksaklik
Çocukluğuma götüren bir oyuncak ?? hızlı kargo ve korunaklı geldi,1,çocukluk götür oyuncak hız kargo korunaklı gel
"Severek kullanıyoruz, büyük küçük tam bir nostalji??",1,sev kullan büyük küçük nostalji
Çok memnunuz bu üründen çocuklar için güzel ve eğlenceli,1,çok memnun ürün çocuk için güzel eğlence
Çocukluğuma döndürdü beni resmen. İndirimdeyken almıştım. Gayet uyguna geldi çok güzel bir oyuncak,1,çocukluk dön resmen indirim al gayet uygun gel çok güzel oyuncak
Gayet oynanır kullanışlı bir ürün fiyata göre çok başarılı,1,gayet oyna kullan ürün fiyat göre çok başarı
"Yeğenlerime aldım çok beğendiler , hızlı kargo teşekkürler ??",1,yeğen al çok beğen hız kargo teşekkür
Sapa sağlam geldi 1 aydır kullanıyoruz 2 çoçugumada aldım ????????????,1,sapa sağlam gel ay kullan çoçugumada al
Hızlı ve özenli kargo güvenilir satıcı tavsiye ederim,1,hız özen kargo güvenilir satıcı tavsiye
cok iyi cocuguma kendi cagimin oyunlarini oynatiyorum,1,iyi cocuguma cagimin oyunlarin oynatiyorum
Erkek arkadaşıma aldım bayıldı. Çocukluğumuza geri döndük. Çok da hızlı geldi teşekkürler trendyol ??,1,erkek arkadaş al bayıl çocukluk geri dön çok hız gel teşekkür trendyol
Çok güzel eğlenceli bir sürü oyun var resmen eskilere gittim çocuklar içinde iyi,1,çok güzel eğlence sürü oyun resmen eski git çocuk iç iyi
Süper çocukluğunuza güzel bi yolculuk yapıyorsunuz ??,1,süper çocukluk güzel yolculuk
"Hiç düşünmeden alın derim, çocukluğunuza dönüyosunuz :) hızlı geldi, tavsiye ederim",1,hiç düşün al çocukluk dönüyo hız gel tavsiye
Çocukluğumu çocuğuma aldım??,1,çocukluk çocuk al
2 tane aldım. Çocuklarım severek oynuyorlarrr,1,tane al çocuk sev oyna
Süper vallaha çocukluğuma döndüm,1,süper vallaha çocukluk dön
Eskileri hatırlatan guzel bir ürün,1,eski hatırla guzel ürün
Çocukluğumu çocuğuma aldım??,1,çocukluk çocuk al
cok guzel ya resmen 90lara gittik :),1,guzel resmen lara git
Ben hediye olarak aldım ancak çok güzel,1,hediye al çok güzel
Gayet güzel,1,gayet güzel
Çocukluğuma geri döndüm alın mutlaka??,1,çocukluk geri dön al mutlaka
Hızlı teslimat..Çok eğlenceli bence herkese tavsiye ederim hiç bir olumsuz yönü yok..,1,hız teslimat çok eğlence tavsiye hiç olumsuz yön yok
ekranı çizik şekilde geldi malesef ama oyun ve ıçerik gayet güzel çocuklarım çocukluğuma yolculuk etti ??,2,ekran çizik şekil gel malesef oyun ıçerik gayet güzel çocuk çocukluk yolculuk
Şarj çok çabuk bitiyor . Ama eski oyunların hepsi var . Oyunları oynarken çocukluk günlerim aklıma geliyor ??,2,şarj çok çabuk bit eski oyun oyun oyna çocukluk gün akıl gel
Çok süper bir atari değil oyunlar çok silik ve minicik çin malı şarj ederken çatur çutur sesler geliyor dikkat edin,0,çok süper atari değil oyun çok silik minicik çin mal şarj çatur çutur ses gel dikkat
Sabahtan beri kullaniyorum hic sarji bitmedi her seyi guzel ama y ve x tuslari calismiyormu bazi oyunlarda mi calismiyor anlayamadim mario icin aldim diger oyunlarida çözeceğim ekrani jelatinli olsaydi keske,2,sabah kullaniyorum hic sarji bit seyi guzel y x tuslari calismiyormu bazi oyun calismiyor anlayamadi mario icin aldim diger oyunlarida çöz ekrani jelatinli olsaydi keske
Telefon boyutunda. 400 oyun var içinde ancak 1-2 si bile yeterli geliyor. Ürün biraz çizik geldi ama çok sıkıntı değil. Tavsiye ederim????,2,telefon boyut oyun iç si yeterli gel ürün çizik gel çok sıkıntı değil tavsiye
geçmişe dönmek için güzel bir ürün fakat bazı oyunlarda tuşların bi işlevi yok. örneğin olympiyat oyununda hiç bir tuş işlemiyor dolayısıyla oynayamiyorsunuz.,2,geçmiş dön için güzel ürün bazı oyun tuş işlev yok örneğin olympiyat oyun hiç tuş işle dolayısıyla oynayamiyorsu
fiyatina gore guzel bekledigimden biraz kucuk geldi ama cocuklari eglendirebilecek kapasitede benim cocugum cok begendi,2,fiyatina gore guzel bekledigim kucuk gel cocuklari eglendirebil kapasite cocugum begendi
Gorundugundenden daha kucuk ve keske turce programında olsaydı,0,gorundugundenden kucuk keske turce program
Fiyat performansı çok iyi çocukluğumun atarisi çok güzel,1,fiyat performans çok iyi çocukluk atari çok güzel
Güzel ürün amacına uygun oğluma aldım bu pandemide değişiklik oldu onun için . Teşeklürler,1,güzel ürün amaç uygun oğul al pandemide değişik için teşeklürler
Bilgisayar tablet vs.ye göre daha kontrollü olur diye aldım. İş görür.,1,bilgisayar tablet vs göre kontrol al iş gör
Hızlı teslimat yapıldı teşekkürler ekranı biraz küçük,2,hız teslimat teşekkür ekran küçük
şimdilik telefondan kurtardı çocukları umarım sıkılmadan oynarlar,1,şimdilik telefon kurtar çocuk um sıkıl oyna
Eşime hediye almıştım çok beyendi çocukluğumuzdaki oyunların tümü var,1,eş hediye al çok beyendi çocukluk oyun tüm
güzel ama aynı oyunla r kızım bir gün oynadı attı bir koseye,2,güzel aynı oyun r kız gün oyna at koseye
Ürün Cok güzel herkeze tavsiye ederim cocuklar için kurtarıcı ve hızlı kargo ??????,1,ürün güzel herkeze tavsiye cocuklar için kurtar hız kargo
"Ürün kullanışlı beklediğim gibi geldi, zevkle oynuyorum. Teşekkürler ????",1,ürün kullan bekle gel zevk oyna teşekkür
ürün guzel ve sağlam şekilde geldi içinde bı suru nostaljik oyun mevcut,1,ürün guzel sağlam şekil gel iç bı sur nostaljik oyun mevcut
Bence on numara ürün biraz ele küçük ama yapacak bir şey yok,1,numara ürün el küçük şey yok
ürün hızlı bir şekilde elime ulaştı paketleme iyiydi oğlum severek kullanıyor teşekkür ederiz,1,ürün hız şekil el ulaş paketle iyi oğul sev kullan teşekkür
Çok hızlı 2 günde sorunsuz geldi çok teşekkür ederim,1,çok hız gün sorun gel çok teşekkür
ürün guzel ve sağlam şekilde geldi içinde bı suru nostaljik oyun mevcut,1,ürün guzel sağlam şekil gel iç bı sur nostaljik oyun mevcut
Ürün Cok güzel herkeze tavsiye ederim cocuklar için kurtarıcı ve hızlı kargo ??????,1,ürün güzel herkeze tavsiye cocuklar için kurtar hız kargo
"Ürün kullanışlı beklediğim gibi geldi, zevkle oynuyorum. Teşekkürler ????",1,ürün kullan bekle gel zevk oyna teşekkür
"Ürün kullanışlı, gayet güzel çalışıyor, televizyona da bağlandığında sorunsuz.",1,ürün kullan gayet güzel çalış televizyon bağla sorun
Bence on numara ürün biraz ele küçük ama yapacak bir şey yok,1,numara ürün el küçük şey yok
Eğlenceli bir ürün bu yaşımda ben bile oynarken eğleniyorum,1,eğlence ürün yaş oyna eğlen
ürün sağlam eski atari oyunlarını sevenler alabilir.Gönderimi de oldukça hızlıydı teşekkürler.,1,ürün sağlam eski atari oyun sev al gönderim oldukça hız teşekkür
fiyatına göre gayet güzel ürün içindeki oyunlar ile çocukluğuma döndüm.,1,fiyat göre gayet güzel ürün iç oyun çocukluk dön
paketlemesi cok iyiydi. kargosuda cok hizli ulasti. tesekkurler,1,paketle iyi kargo hizli ulasti tesekkurler
eski oyunların hemen hemen hepsi içinde nostalji yaşattı,1,eski oyun hemen hemen iç nostalji yaşa
ıyıkı almışım muhteşem bısey oğluma aldım ben oynuyorum,1,ıyıkı al muhteşem bısey oğul al oyna
greybride sayesinde alındı harika ??,1,greybride saye alın harika
arkadaşıma hediye almıştım çok beğendii,1,arkadaş hediye al çok beğendii
çok güzel çok teşekkür ederim,1,çok güzel çok teşekkür
severek oynuyoruz tavsiye ediyorum,1,sev oyna tavsiye
Maziye götüren bir oyuncak bayıldımmm,1,mazi götür oyuncak bayıl
Eski günlere döndürdü,1,eski gün dön
Eşimden kullanmaya fırsat kalmıyor ki,1,eş kullan fırsat kal
çocuklar icin iyi bi tercih,1,çocuk icin iyi tercih
çocuklar elinden düşürmüyor,1,çocuk el düşür
çocukluğuna dönmek isteyenler,2,çocukluk dön iste
ikinoglumada aldım çok iyi,1,ikinoglumada al çok iyi
birazcık oynama fırsatım oldu. güzel bence,1,birazcık oyna fırsat güzel
Telefondan kurtariyor cocuklari ???? begendik,1,telefon kurtariyor cocuklari begendik
coook hizli bi teslimat syperr,1,cook hizli teslimat syperr
Çok güzel bir nostaji oyuncağı,1,çok güzel nostaji oyuncak
sarji iyi idare ediyor,2,sarji iyi idare
çok eğlenceli çok güzel Tam da beklediğim gibi,1,çok eğlence çok güzel bekle
Çocukluğuma geri döndüm çok güzel,1,çocukluk geri dön çok güzel
birazcık oynama fırsatım oldu. güzel bence,1,birazcık oyna fırsat güzel
ikinoglumada aldım çok iyi,1,ikinoglumada al çok iyi
Guvenilir guzel geldi,1,guvenilir guzel gel
Pandemi dönemi elim ayağım oldu çocuklar için ????????,1,pandemi dönem elim ayak çocuk için
Eski günlere döndürdü,1,eski gün dön
Eşimden kullanmaya fırsat kalmıyor ki,1,eş kullan fırsat kal
çocuklar icin iyi bi tercih,1,çocuk icin iyi tercih
Harika çocukluğuma döndüm,1,harika çocukluk dön
"Gayet güzel bir ürün, beklediğimiz gibi",1,gayet güzel ürün bekle
Hediye aldım harikaaaa,1,hediye al harikaa
çocukla çocuk yapan bir oyun,1,çocuk çocuk oyun
Çocuklara çok güzel bir hediye ben çok beğendim,1,çocuk çok güzel hediye çok beğen
bekledigim gibi guzel,1,bekledigim guzel
Vakit geçirmek için iyi bir oyun,1,vakit geçir için iyi oyun
Yegenlerime hediye olarak aldim. Cok mutlu oldular severek oynuyorlar,1,yegenleri hediye aldim mutlu sev oyna
çocuklar elinden düşürmüyor,1,çocuk el düşür
Urün fiyatına göre çok iyi . Oğlum severek oynuyor,1,urün fiyat göre çok iyi oğul sev oyna
çocukluğuma döndüm resmen. alınabilir bir urun,1,çocukluk dön resmen alın ur
eşime aldım çok güzel,1,eş al çok güzel
Direk iade çok sıkıcı,0,direk iade çok sıkıcı
Çok kaliteli değil biraz yazıları falan Çin malıyım diye bağırıyor ?? ama içindeki oyunları güzel ne bileyim orta işte,2,çok kalite değil yazı çin mal bağır iç oyun güzel bil orta iş
ürün çok kalitesiz ve ekranı oynadıkça gidiyor çok dandik geldiği için iade etmek zorunda kaldm ayrıca görüntü kalitesi düşük ve aynı oyunlar var hep,0,ürün çok kalite ekran oyna git çok dandik gel için iade zor kaldm ayrıca görüntü kalite düşük aynı oyun
Çok mükemmel bişey beklemeyin çok kötü de degil. Fiyat performans denilebilir,2,çok mükemmel bişey bekle çok kötü degil fiyat performans
Beklentimi karşıladı. TV'ye bağlanıp oynanması hoşuma gitti. ,1,beklenti karşıla tv bağla oyna hoş git
Sürekli çantada taşıyabilinir bir şey çok güzel vakit geçirtiyor,1,sürekli çanta taşıyabil şey çok güzel vakit geçir
kardeşime aldık. evde maaile ben oynicam diye kavga ediyoruz. arkadaşlarım da aldı beğenip.,1,kardeş al ev maaile oynicam kavga arkadaş al beğen
görüntü kalitesi çok iyi değil,0,görüntü kalite çok iyi değil
boyut olarak biraz küçük ama çok güzel tavsiye ederim keisnlikle,1,boyut küçük çok güzel tavsiye keisnlikle
ürün geldi gerçekten çok güzel göründüğü gibi ancak 2 gün içerisinde batarya da hafif şişme oldu,2,ürün gel gerçekten çok güzel görün gün içeri batarya hafif şiş
Tuşları biraz basit ekranı silerken tırnağım biraz çizdi ama nostaljik erkek arkadaşıma aldım,0,tuş basit ekran sil tırnak çiz nostaljik erkek arkadaş al
"telefon oyunlarından sonra oynaması zor,ama eski zamanlara götürüyor,",1,telefon oyun oyna zor eski zaman götür
çocukluğum resmen geri geldi ailece çok severek oynuyoruz harika,1,çocukluk resmen geri gel ailece çok sev oyna harika
"Oyunları güzel. Fiyatına göre de görüntü kalitesi iyi durumda,orta kalitede ürün.",1,oyun güzel fiyat göre görüntü kalite iyi durum orta kalite ürün
bir sürü oyun var hediye olarak almıştım çok severek kullaniyor,1,sürü oyun hediye al çok sev kullaniyor
Hızlı kargolandı.Ürün çok güzel içerisinde şarjı da var herhangi bir sorun yaşamadım.,1,hız kargo ürün çok güzel içeri şarj sorun yaşa
Ekran biraz mat ve küçük oyunlarda çok canlı değil eski tarzlarda Beş yaşındaki oğlum Sevdi,1,ekran mat küçük oyun çok canlı değil eski tarz beş yaş oğul sev
Gayet iyi inşallah çabuk bozulmaz,1,gayet iyi inşallah çabuk boz
Çocukluk günlerime döndürdü beni..,2,çocukluk gün dön
oğlum için aldım çok mutlu oldu ??,1,oğul için al çok mutlu
Çok güzel bir oyun çocuklardan çok ben oynuyorum,1,çok güzel oyun çocuk çok oyna
Tam da beklediğim gibi çıktı kızım çok beğendi,1,bekle çık kız çok beğen
oğlum çok sevdi bende tabiki????????,1,oğul çok sev tabiki
Fiyatına göre ideal alınabilir .,1,fiyat göre ideal alın
guzel oyunlar gayet iyi,1,guzel oyun gayet iyi
cok güzel eğlenceli sorunsuz çalışıyor,1,güzel eğlence sorun çalış
Nostalji tavsıye ederım ;))),1,nostalji tavsıye ederım
Çok güzel bir oyuncak,1,çok güzel oyuncak
Harikaa çocuğun kadar oynuyorum,1,harikaa çocuk oyna
kalite ve tvye baglanmasi mükemmel,1,kalite tvye baglanmasi mükemmel
"tavsiye ederim, biz beğendik :)",1,tavsiye beğen
"Hızlı kargo, güzel ürün ????",1,hız kargo güzel ürün
çok güzel oğlum bayıldi,1,çok güzel oğul bayıldi
Çocukluğum neşesi çok güzel,1,çocukluk neşe çok güzel
çocukluğuma geri döndüm ??,1,çocukluk geri dön
oğlum çok sevdi gayet kaliteli bir urun,1,oğul çok sev gayet kalite ur
Biraz küçük ve tuşlar hızlı bozuluyor,0,küçük tuş hız boz
Bazı oyunlar açılmıyo,0,bazı oyun açılmıyo
Çocukluğum ellerimde çok güzellll,1,çocukluk el çok güzell
Süper süper ve süper ! ??,1,süper süper süper
Çok güzel vakit geçirmek için tam bir nostalji,1,çok güzel vakit geçir için nostalji
Harikaaaa tek anlamıyla,1,harikaa tek anlam
Çocuklar için gayet iyi,1,çocuk için gayet iyi
yeğenime hediye olarak aldım elinden dusmuyo,1,yeğen hediye al el dusmuyo
Çocuklar çok mutlu oluyor :),1,çocuk çok mutlu
eski günlerdeki gibi güzel ürün,1,eski gün güzel ürün
çok güzel çocukluğuma döndümm ????,1,çok güzel çocukluk döndümm
ürün çok güzel her yaş için uygun bence??,1,ürün çok güzel yaş için uygun
cok eğlenceli bi oyun,1,eğlence oyun
gerçekten eğlenceli super bi ürün,1,gerçekten eğlence super ürün
çok eğlenceli tavsiye ederim.,1,çok eğlence tavsiye
Paketleme güzeldi ve ürün göründüğü gibiydi,1,paketle güzel ürün görün
Boş zamanı değerlendirmelik süper,1,boş zaman değer süper
Cok güzel oğlum için aldım,1,güzel oğul için al
Oğlum severek oynuyor kalıtesi guzel,1,oğul sev oyna kalıtesi guzel
Ürün göründüğü gibi tüm nostaljik oyunlar var.,1,ürün görün tüm nostaljik oyun
oğlum çok sevdi bizden ona sira zor geliyor ama????,1,oğul çok sev sira zor gel
Oğlum çok beğendi ayrıca çok çok hızlı geldi,1,oğul çok beğen ayrıca çok çok hız gel
Kargo hızı çok iyiydi ürün çok güzel,1,kargo hız çok iyi ürün çok güzel
Çocuklar severek oynuyorlar,1,çocuk sev oyna
Sizin için nostalji çocuğunuz için eğlenceli vakit,1,için nostalji çocuk için eğlence vakit
Cocuklugumun oyunlari super,1,cocuklugum oyunlari super
Cok tesekkurker çocukluğum geldi aklıma.,1,tesekkurker çocukluk gel akıl
"Kaliteli ve güzel, tavsiye ederim.",1,kalite güzel tavsiye
Oğlum severek oynuyor,1,oğul sev oyna
şahane tavsiye ederim,1,şahane tavsiye
Fiyatına göre gayet güzel bir ürün çok sevdim.,1,fiyat göre gayet güzel ürün çok sev
zamanında teslim göründüğünün aynısı,1,zaman teslim görün aynı
Çok güzel bissürü oyun var,1,çok güzel bissürü oyun
eski günlerdeki gibi güzel ürün,1,eski gün güzel ürün
Mükemmel tavsiye ederim kesinlikle,1,mükemmel tavsiye kesinlikle
Çok güzel. Hey gidi eski günler,1,çok güzel hey gidi eski gün
Çocuklar çok mutlu oluyor :),1,çocuk çok mutlu
cok eğlenceli bi oyun,1,eğlence oyun
yeğenime hediye olarak aldım elinden dusmuyo,1,yeğen hediye al el dusmuyo
torunuma aldım çok güzel bizi geçmişe götürdü ..,1,torun al çok güzel geçmiş götür
Özlediğim oyunlar bir arada,1,özle oyun ara
Beğendim çok iyi,1,beğen çok iyi
Severek oynuyorum ??,1,sev oyna
Çok güzel,1,çok güzel
Beyaz boyası mavi rengin üzerine bulaşmıştı. Hediye olarak aldığım için iade etmiyorum fakat daha kaliteli yapılabilirmiş,0,beyaz boya mavi renk üzer bulaş hediye al için iade kalite
"ben Çin malıyım diye bağırıyor, çok hafif ve adi duruyor tamamen plastik küçük bir şey arapça ve ingilizce dil seçenekli olarak üretilmiş kapatıp açtığınızda kaldığınız yerden devam edemiyorsunuz bu parayı hakeder mi bence asla haketmez",0,çin mal bağır çok hafif adi dur plastik küçük şey arapça ingilizce dil seçenek üre kapa aç kal yer devam para hakeder haketmez
Ürün geldiğinde şarjlı ve çalışır durumdaydı ancak şarj etmek istediğimde şarj olmadı geri göndermek zorunda kaldım ama deneyimlediğimiz kadarı ile kullanışlı güzel zevkli bir oyun coçuklar için ideal,0,ürün gel şarj çalış durum şarj iste şarj geri gönder zor kal deneyimledik kullan güzel zevk oyun coçuklar için ideal
5 yaşında oğlum severek oynuyor arada tv bağlıyoruz büyük ekranda oynuyoruz çözünürlük konusuda çok iyi degil dicem sonucta nostalji atarisi :) tablet ve tv çözünürlüğü beklememek gerekiyor biz begendik tavsiye ediyoruz,1,yaş oğul sev oyna ara tv bağla büyük ekran oyna çözünürlük konusuda çok iyi degil dicem sonucta nostalji atari tablet tv çözünürlüğü bekle begendik tavsiye
Herkes cok menun ben begenmedim cok basit imdirimde die aldım 70 e bu ürün için o bile fazla,0,menun begenmedim basit imdirim die al ürün için fazla
ürün çok kaliteli değil türkçe seçeneği yok oğlum pek sevmedi,0,ürün çok kalite değil türkçe seçenek yok oğul sev
Çok dayanıklı beklemeyin hele. Çocukların. Elindeyse,0,çok dayanıklı bekle hele çocuk el
çok çok büyük bir şey değil bildiğiniz Tetris gibi bir şey Hatta tesisten biri küçük,0,çok çok büyük şey değil bil tetris şey tesis küçük
ürün çok kaliteli değil türkçe seçeneği yok oğlum pek sevmedi,0,ürün çok kalite değil türkçe seçenek yok oğul sev
Güzel ürün fena değil. Biraz da beklentinize bağlı ama ben beğendim,2,güzel ürün fena değil beklenti bağ beğen
oğluma ödül olarak aldım. Bir arkadaşımın tavsiyesiyle. Geç bile kalmışım .,1,oğul ödül al arkadaş tavsiye geç kal
Üründen pek bir şey beklemeyin. Ekran ışıgı kısık biraz şarjı az gidiyor. Nostaljisi harika =),0,ürün şey bekle ekran ışıgı kısık şarj git nostalji harika
Çok guzel eğlenceli ve her ortamda kullanışlı,1,çok guzel eğlence ortam kullan
ben oynuyorum oğlum için aldım.halbuki,2,oyna oğul için al halbuki
Beğenmedim kalitesiz,0,beğen kalite
gayet eğlenceli. ekranı biraz küçük. nostaljik,1,gayet eğlence ekran küçük nostaljik
Eski zamanlardaki gibi,2,eski zaman
çok güzel çocuklardan çok bizim elimizde??,1,çok güzel çocuk çok el
Hızlı ve güvenilir alışveriş için teşekkürler,1,hız güvenilir alışveriş için teşekkür
"harika, resmen çocukluğumuza döndük??",1,harika resmen çocukluk dön
Hızlı zamanın da teslim edildi,1,hız zaman teslim
Aşırı hızlı geldi ve çok eğlenceli bir ürün,1,aşırı hız gel çok eğlence ürün
Çok güzel çok memnun kaldım ailece oynuyoruz ??,1,çok güzel çok memnun kal ailece oyna
İnanılmaz güzel. Beni eski günlere götürdü.,1,inanılmaz güzel eski gün götür
Çok beğendim çok kaliteli bir ürün,1,çok beğen çok kalite ürün
süperrr iyiki almışım,1,süperr iyiki al
Son derece eğlenceli ve nostaljik. Çok beğendik.,1,son derece eğlence nostaljik çok beğen
ürün cok iyi ve ucuz eskileri hatırlattı,1,ürün iyi ucuz eski hatırla
severek kullaniyoruzzz,1,sev kullaniyoruzz
Çok beğendim çok kaliteli bir ürün,1,çok beğen çok kalite ürün
İnanılmaz güzel. Beni eski günlere götürdü.,1,inanılmaz güzel eski gün götür
Çok güzel çocuklar beğendi ????,1,çok güzel çocuk beğen
Nostaljik eğlence,1,nostaljik eğlence
güzel sesi yüksek,1,güzel ses yüksek
Güzel alabilirsiniz,1,güzel al
idare eder,2,idare
Çok guzel,1,çok guzel
Çocukluğummmmm,1,çocukluk
Elimizden düşmüyor,1,el düş
Paketleme ve teslimat suresi cok iyi..urun tatmin edici,1,paketle teslimat sure iyi ur tatmin
Resimlerde göründüğü gibi fakat çözünürlük berbat. Çocuk bikaç kez oynadı sonra ekran çözünürlüğü çok kötü olduğu için oynamayı bıraktı. Şarjda çok dayanmıyor. Tevsiye etmem.,0,resim görün çözünürlük berbat çocuk bikaç oyna ekran çözünürlüğü çok kötü için oyna bırak şarj çok dayan tevsi
pek hayrını göremedim habire kendini kasıyor. ve şarj cabuk bitiyor. üşendim geri iyade etmek istemedim,0,hayır gör habire kas şarj cabuk bit üşen geri iyade iste
"oynaması zor, geri tuşu yok. her seferinde sıfırlamak gerekiyor.",0,oyna zor geri tuş yok sefer sıfırla
Dış kaplaması ve tuşları kalitesiz.,0,dış kapla tuş kalite
Cok dikkatli kullanilmasi lazim. Cok nazik heran kirilir gibi hali var,0,dikkat kullanilmasi lazim nazik heran kirilir hal
Ürün şarj yeri bozuktu görüntü beklediğim kadar iyi değildi ama oğlum beğendi,0,ürün şarj yer bozuk görüntü bekle iyi değ oğul beğen
400 oyun Denmiş ama 400 ayrı oyun değilmiş hep aynı,0,oyun ayrı oyun değ aynı
görselle birebir aynı geldi beklentimin altında oğlum çabuk sıkıldı,0,görsel birebir aynı gel beklenti alt oğul çabuk sıkıl
Ürün gösterildiği gibi ama plastiği çok kötü duruyor bu paraya değer mi bence değmez,0,ürün göster plastik çok kötü dur para değer değ
idare eder heveslenip aldim ama gorundugu kadar iyi degil,0,idare heveslen aldim gorundugu iyi degil
Güzel ürün vakit geçiriliyor çocukluğumu hatırlattı,1,güzel ürün vakit geçir çocukluk hatırla
Çok kaliteli gelmedi bana ,0,çok kalite gel
çok fazla beklentiye girmemek lazım idare eder fiyat ürüne göre pahalı,0,çok fazla beklenti gir lazım idare fiyat ürün göre paha
Fiyatına göre idare eder bazen tuşları takılı kalıyor,0,fiyat göre idare tuş takı kal
hediye aldim henüz oynayamadık sabırsızlanıyorum,2,hediye aldim henüz oyna sabırsızlan
Fiyatı bence biraz pahalı ama güzel indirime girdiğinde almanızı tavsiye ederim.,1,fiyat paha güzel indirim gir al tavsiye
Torunuma aldım parasına göre iyi bir ürün,1,torun al para göre iyi ürün
Çok keyifle oynuyorum. Hızlı kargo.,1,çok keyif oyna hız kargo
oglum ve esim oynamaktan kendilerini alamiyorlar,1,oglum esim oyna alamiyorlar
 hediye aldım kızıma pek sevmedi,0,hediye al kız sev
Beğendik severek oynuyo çocuklar,1,beğen sev oynuyo çocuk
Nostalji açısından yeterli bir ürün,1,nostalji açı yeterli ürün
Uygun fiyata aldik başarılı,1,uygun fiyat aldik başarı
Çok büyük değil fiyatını karşılamaz,0,çok büyük değil fiyat karşıla
gayet iyi ben memnun kaldım,1,gayet iyi memnun kal
Kuzenime aldık biz memnun kaldık teşekkürler,1,kuzen al memnun kal teşekkür
Gayet iyi başarılı bir ürün.,1,gayet iyi başarı ürün
Eskilere döndüren efsane atari,1,eski dön efsane atari
gayet beğendim eğlenceli çocukluğuma döndürdü :),1,gayet beğen eğlence çocukluk dön
Gorundugu gibi kaliteli bir urun,1,gorundugu kalite ur
Esim Ben ve Cocuklarim cok. Severek oynuyoruz,1,esim cocuklari sev oyna
Bazen donuyor,0,don
Harikaaa bir ürün,1,harikaa ürün
muhteşem bi ürün,1,muhteşem ürün
Gerçekten mükemmel,1,gerçekten mükemmel
Gençliğime döndüm??,1,gençlik dön
Beni çocukluğuma götürdü çok beğendim teşekkür ederim plastik yazanlar olmuş evet plastik ama bu fiyata zaten eski Gameboylarımız gibi olması beklenemezdi,1,çocukluk götür çok beğen teşekkür plastik yaz evet plastik fiyat eski gameboy bekle
Beğendim güzel,1,beğen güzel
Çok hoşuma gitti,1,çok hoş git
Mavi renk sipariş ettim ama beyaz renk yollamışlar,0,mavi renk sipariş beyaz renk yolla
Cok guzel oyunlar,1,guzel oyun
Güzel ürün,1,güzel ürün
Iyikide almiŠim??????????,1,ıyikide almi im
iyiki almışım,1,iyiki al
Süper bir ürün,1,süper ürün
Gyet güzel,1,gyet güzel
Cok guzel urun,1,guzel ur
Cok. Begendik,1,begendik
çok beyendik,1,çok beyendik
